Date,Open,High,Low,Close,Adj Close,Volume
2021-08-16,45.599998,45.599998,44.500000,44.599998,44.599998,15000277
2021-08-17,44.599998,44.599998,44.599998,44.599998,44.599998,0
2021-08-18,43.700001,44.200001,43.349998,44.099998,44.099998,14298739
2021-08-19,44.099998,44.150002,43.299999,43.349998,43.349998,12974686
2021-08-20,43.349998,43.650002,43.000000,43.000000,43.000000,9957559
2021-08-23,43.500000,44.000000,43.349998,43.599998,43.599998,5717237
2021-08-24,43.799999,43.900002,43.549999,43.799999,43.799999,5323718
2021-08-25,43.950001,44.299999,43.849998,43.950001,43.950001,7138634
2021-08-26,44.000000,44.099998,43.599998,43.650002,43.650002,9105392
2021-08-27,43.700001,44.400002,43.700001,44.200001,44.200001,5943161
2021-08-30,44.299999,44.799999,44.299999,44.700001,44.700001,6144982
2021-08-31,44.700001,44.950001,44.400002,44.900002,44.900002,7345836
2021-09-01,44.900002,45.700001,44.799999,45.650002,45.650002,11304885
2021-09-02,45.500000,45.549999,44.799999,44.849998,44.849998,10905266
2021-09-03,44.900002,45.200001,44.900002,45.099998,45.099998,5255127
2021-09-06,45.000000,45.200001,44.450001,44.900002,44.900002,6767118
2021-09-07,44.900002,45.150002,44.750000,45.150002,45.150002,5598837
2021-09-08,45.099998,45.150002,44.549999,44.750000,44.750000,6721559
2021-09-09,44.500000,44.599998,44.200001,44.349998,44.349998,5504846
2021-09-10,44.500000,44.950001,44.349998,44.950001,44.950001,4274097
